lat,lon,height,r,p,y,t
0,1.0530658811790497143e-10,0,7.4169322033412754536e-05,-0.0047405832447111606598,0,1758530118.5143187046
-1.0848584451254543263e-07,9.3279616569994447948e-06,0.025049585849046707153,-0.00475625600665807724,-0.020027644932270050049,-0.015490194782614707947,1758530121.3136427402
-4.8290425174549723327e-07,1.8904665968961899752e-05,0.052832946181297302246,0.0055918968282639980316,-0.026185614988207817078,-0.024239998310804367065,1758530123.1133155823
-6.2105190139680378718e-07,2.3103057945674902458e-05,0.072437301278114318848,-0.00684243813157081604,-0.017405465245246887207,0.20661631226539611816,1758530124.9119415283
-7.6515215782953407558e-07,2.309736219376175081e-05,0.072085700929164886475,-0.01047489512711763382,-0.010965214110910892487,0.47208395600318908691,1758530125.311861515
-8.6373095708654680546e-07,2.3073890216831495335e-05,0.073379874229431152344,-0.016097676008939743042,-0.0055193337611854076385,0.75042122602462768555,1758530125.7125096321
-9.3124360074606783977e-07,2.3084398045626463035e-05,0.074437022209167480469,-0.017496382817625999451,-0.0031752630602568387985,1.0224618911743164062,1758530126.1124615669
-9.0652852335583329439e-07,2.3069191542593464475e-05,0.076205722987651824951,-0.019429441541433334351,0.0058875130489468574524,1.2956571578979492188,1758530126.5122139454
6.0899002966512143212e-06,2.3873694052938242973e-05,0.057020980864763259888,-0.027949700132012367249,0.0050375056453049182892,1.6448112726211547852,1758530129.7097430229
6.1308551215391950996e-06,2.379329878874482821e-05,0.054431553930044174194,-0.016249116510152816772,0.022961065173149108887,1.8457102775573730469,1758530129.9087264538
6.1647316677347869189e-06,2.3832978624707093669e-05,0.044540692120790481567,-0.011385767720639705658,0.0279560089111328125,2.0610003471374511719,1758530130.1091477871
6.1842464801936682152e-06,2.392909390780124083e-05,0.054387513548135757446,-0.0039286473765969276428,0.033340595662593841553,2.2822976112365722656,1758530130.3103950024
6.2399733907453921758e-06,2.401633819554304774e-05,0.059734322130680084229,0.0016329758800566196442,0.039071902632713317871,2.5079791545867919922,1758530130.5114028454
6.2498438857620422138e-06,2.4068250418686025483e-05,0.059661094099283218384,0.010124536231160163879,0.038010735064744949341,2.7300660610198974609,1758530130.7120368481
6.2603315218521205521e-06,2.4042272910868730081e-05,0.058457113802433013916,0.01384655386209487915,0.035517577081918716431,2.9468894004821777344,1758530130.9116783142
6.8572780200687179515e-06,1.4030865196156703799e-05,0.029432738199830055237,0.013935122638940811157,0.042548991739749908447,3.0942525863647460938,1758530133.5103988647
7.0055497459435638088e-06,1.0363781867071200914e-05,0.018017256632447242737,0.019499264657497406006,0.035218417644500732422,-2.9159550666809082031,1758530134.9084069729
7.1262983839726407577e-06,1.0418962407346977949e-05,0.008812320418655872345,0.024421216920018196106,0.023226579651236534119,-2.5196909904479980469,1758530135.3085553646
7.1529587899737366518e-06,1.0466294706168840901e-05,0.01948930695652961731,0.026568192988634109497,0.017751432955265045166,-2.3099386692047119141,1758530135.5095853806
7.1019121399422739888e-06,1.050551665714687997e-05,0.020306583493947982788,0.025971310213208198547,0.01234180014580488205,-2.1001081466674804688,1758530135.7103435993
7.0111471022221687622e-06,1.0553261908431291947e-05,0.020976593717932701111,0.026138901710510253906,0.0077907615341246128082,-1.8953255414962768555,1758530135.9104213715
7.059844736878641054e-06,1.0468006427641547942e-05,0.020959535613656044006,0.03129673004150390625,0.0039718649350106716156,-1.6839697360992431641,1758530136.1101326942
-2.1564482147111650475e-06,1.0144497571233591151e-05,0.029408646747469902039,0.036223106086254119873,0.0007814784185029566288,-1.5865668058395385742,1758530137.909068346
-1.1733448797889452412e-05,9.8803318667664930886e-06,0.046123616397380828857,0.035056557506322860718,0.01296893879771232605,-1.5969150066375732422,1758530139.3085594177
-2.0933463823600543966e-05,9.5514266526237180606e-06,0.052609488368034362793,0.030467217788100242615,-0.0042198798619210720062,-1.608600616455078125,1758530140.708170414
-3.1063147060002708794e-05,9.0199701635370708867e-06,0.046277523040771484375,0.028950363397598266602,-0.0062412382103502750397,-1.6192564964294433594,1758530142.1073777676
-4.091369060538012619e-05,8.3550073679337561909e-06,0.082984112203121185303,0.027375329285860061646,-0.022381169721484184265,-1.6322914361953735352,1758530143.5070207119
-4.2974870014675752559e-05,8.2490710071607227033e-06,0.10370571911334991455,0.014673016034066677094,-0.034377969801425933838,-1.3301484584808349609,1758530144.505002737
-4.296425906280368389e-05,8.3707433560452462794e-06,0.10106985270977020264,0.0037423220928758382797,-0.034475583583116531372,-1.1297301054000854492,1758530144.7049648762
-4.299683293754657181e-05,8.4730812767171816087e-06,0.099393211305141448975,0.0026180876884609460831,-0.030870458111166954041,-0.92129456996917724609,1758530144.905261755
-4.3019149118928057577e-05,8.4638358424257496393e-06,0.10222338885068893433,-0.0030433537904173135757,-0.029650617390871047974,-0.71264475584030151367,1758530145.1061851978
-4.3008098730840647363e-05,8.4438006812058075996e-06,0.098915137350559234619,-0.0062895296141505241394,-0.025024892762303352356,-0.50348764657974243164,1758530145.3069167137
-4.3016956270216423638e-05,8.3672605358653390347e-06,0.10035804659128189087,-0.023187186568975448608,-0.021325992420315742493,-0.18009021878242492676,1758530145.7072329521
-4.4707403103061120887e-05,1.7445838939151614465e-05,0.12253062427043914795,-0.02505022101104259491,-0.020942803472280502319,-0.17522658407688140869,1758530147.1058170795
