x,y,z,r,p,y,t
0,0,0,0.010466812178492546082,-0.016707004979252815247,2.2263727188110351562,1758023034.2570750713
-0.14230242371559143066,0.16617801785469055176,0.0096256695687770843506,0.0049018743447959423065,-0.012779150158166885376,2.4926297664642333984,1758023046.6564733982
-0.28131043910980224609,0.25349825620651245117,0.012402096763253211975,-0.0020415445324033498764,-0.0094593381509184837341,2.7131564617156982422,1758023047.0569651127
-0.43543681502342224121,0.32548242807388305664,0.018650069832801818848,-0.0084887584671378135681,-0.003770983545109629631,2.950481414794921875,1758023047.457290411
-0.58840829133987426758,0.35021188855171203613,0.017822954803705215454,-0.011759400367736816406,-0.0021210419945418834686,-3.0913791656494140625,1758023047.8571705818
-0.74820321798324584961,0.34222277998924255371,0.018889004364609718323,-0.015864567831158638,0.0015822191489860415459,-2.8471162319183349609,1758023048.2570319176
-0.90844249725341796875,0.28649169206619262695,0.020115530118346214294,-0.018555222079157829285,0.0028424577321857213974,-2.6346490383148193359,1758023048.6573894024
-1.0705300569534301758,0.18360020220279693604,0.022282954305410385132,-0.017703806981444358826,0.008349613286554813385,-2.4230694770812988281,1758023049.0571386814
-1.2204184532165527344,0.037104912102222442627,0.018533576279878616333,-0.015858225524425506592,0.016356298699975013733,-2.1965110301971435547,1758023049.4565098286
-1.5637971162796020508,-0.55121982097625732422,0.013118426315486431122,-0.0078998785465955734253,0.016815187409520149231,-1.9382992982864379883,1758023050.6566874981
-1.6367589235305786133,-0.76631319522857666016,0.0077071506530046463013,-0.0038196025416254997253,0.023189224302768707275,-1.7377858161926269531,1758023051.0555467606
-1.6687971353530883789,-0.99267226457595825195,0.013482533395290374756,-0.0027976909186691045761,0.021600913256406784058,-1.4915921688079833984,1758023051.456362009
-1.5573987960815429688,-1.6076338291168212891,-0.0041912090964615345001,0.0037427791394293308258,0.025322239845991134644,-1.2692644596099853516,1758023052.456923008
-1.3153465986251831055,-2.2144730091094970703,-0.018624685704708099365,0.005285109393298625946,0.025581551715731620789,-1.0614227056503295898,1758023053.4566457272
-0.72135001420974731445,-3.1014282703399658203,-0.047749686986207962036,0.011911308392882347107,0.025031492114067077637,-0.92831093072891235352,1758023055.0566737652
-0.061777599155902862549,-3.8663432598114013672,-0.061139363795518875122,0.011752594262361526489,0.026022003963589668274,-0.80120414495468139648,1758023056.4569892883
0.66772300004959106445,-4.6228508949279785156,-0.074074380099773406982,0.015573217533528804779,0.021007839590311050415,-0.68646961450576782227,1758023057.8557603359
1.0392143726348876953,-4.8768630027770996094,-0.076835423707962036133,0.021352998912334442139,0.021605363115668296814,-0.44694653153419494629,1758023058.4566745758
1.4506032466888427734,-5.0448117256164550781,-0.077937170863151550293,0.022805208340287208557,0.016132144257426261902,-0.24059440195560455322,1758023059.056602478
1.8783448934555053711,-5.1220040321350097656,-0.078682176768779754639,0.024463426321744918823,0.011381424032151699066,0.053021959960460662842,1758023059.655977726
2.157337188720703125,-5.0984501838684082031,-0.083479769527912139893,0.02291138283908367157,0.0079445065930485725403,0.3161106109619140625,1758023060.0560715199
2.416919708251953125,-4.9981403350830078125,-0.091134861111640930176,0.020445635542273521423,0.0089374026283621788025,0.58028548955917358398,1758023060.4566438198
2.7462909221649169922,-4.7482628822326660156,-0.10503279417753219604,0.018321448937058448792,-0.00052926153875887393951,0.78953760862350463867,1758023061.0577907562
3.1254932880401611328,-4.3388447761535644531,-0.10033752024173736572,0.021659672260284423828,-0.00018211356655228883028,1.1379017829895019531,1758023061.8540349007
3.2320942878723144531,-4.0810990333557128906,-0.097052760422229766846,0.020191000774502754211,-0.0015512714162468910217,1.4325172901153564453,1758023062.255841732
3.2606678009033203125,-3.8020491600036621094,-0.095277503132820129395,0.015074631199240684509,-0.0024678518529981374741,1.7233424186706542969,1758023062.6572189331
3.21825408935546875,-3.5405774116516113281,-0.10011701285839080811,0.016059499233961105347,-0.010336052626371383667,1.9934264421463012695,1758023063.0568737984
3.0866827964782714844,-3.2973742485046386719,-0.084270447492599487305,0.0076884771697223186493,-0.0092649077996611595154,2.1938731670379638672,1758023063.4564704895
2.4311974048614501953,-2.5358364582061767578,-0.076517835259437561035,0.006512000691145658493,-0.010049267672002315521,2.3692944049835205078,1758023064.8566243649
1.6648912429809570312,-1.7760019302368164062,-0.049705635756254196167,0.01256556343287229538,-0.010070492513477802277,2.3767390251159667969,1758023066.0562775135
0.89032930135726928711,-1.0106598138809204102,-0.03316741064190864563,0.011155707761645317078,-0.012536872178316116333,2.3688352108001708984,1758023067.2559156418
0.096044048666954040527,-0.20974899828433990479,-0.0025658269878476858139,0.0092694172635674476624,-0.012924297712743282318,2.3591253757476806641,1758023068.4558229446
-0.69979971647262573242,0.60263460874557495117,0.020304234698414802551,0.0098291933536529541016,-0.014953050762414932251,2.3471841812133789062,1758023069.6562111378
-1.4916808605194091797,1.4431556463241577148,0.040675882250070571899,0.011932414956390857697,-0.015861088410019874573,2.3338601589202880859,1758023070.8559060097
-2.2935650348663330078,2.3146486282348632812,0.058330420404672622681,0.012956961058080196381,-0.011310875415802001953,2.3186864852905273438,1758023072.0559921265
-2.9763569831848144531,3.0777790546417236328,0.082842975854873657227,0.012066750787198543549,-0.010931498371064662933,2.3067421913146972656,1758023073.0559322834
-3.7340090274810791016,3.9426057338714599609,0.10084254294633865356,0.012270462699234485626,-0.012782719917595386505,2.2927412986755371094,1758023074.0560398102
-4.5000252723693847656,4.8330903053283691406,0.13681951165199279785,0.012972464784979820251,-0.012513134628534317017,2.2778022289276123047,1758023075.0561058521
-5.2138233184814453125,5.71148681640625,0.15313905477523803711,0.017204431816935539246,-0.017517134547233581543,2.2854857444763183594,1758023076.0558142662
-5.7723937034606933594,6.275508880615234375,0.16387759149074554443,0.012829455547034740448,-0.017379675060510635376,2.5201489925384521484,1758023076.8560698032
-6.2262067794799804688,6.5689902305603027344,0.18297399580478668213,0.0069564520381391048431,-0.023639997467398643494,2.7857751846313476562,1758023077.455984354
-6.5008025169372558594,6.6534099578857421875,0.19059322774410247803,0.00017133458459284156561,-0.017277784645557403564,3.0402719974517822266,1758023077.8555853367
-6.6617321968078613281,6.6840376853942871094,0.19941152632236480713,-0.0073543721809983253479,-0.012853317894041538239,-2.982189178466796875,1758023078.2563877106
-6.7421212196350097656,6.6785154342651367188,0.20181454718112945557,-0.014806657098233699799,-0.0031769757624715566635,-2.6919302940368652344,1758023078.6562197208
-6.7982640266418457031,6.6682195663452148438,0.19924609363079071045,-0.015613483265042304993,0.0013909849803894758224,-2.3605530261993408203,1758023079.0556435585
-6.8451819419860839844,6.6283087730407714844,0.20031256973743438721,-0.016806099563837051392,0.0087948134168982505798,-1.9455096721649169922,1758023079.455406189
-6.8745064735412597656,6.5787186622619628906,0.19910408556461334229,-0.010583281517028808594,0.016312865540385246277,-1.7084907293319702148,1758023079.6552329063
-6.8882937431335449219,6.386577606201171875,0.19317075610160827637,-0.006117525976151227951,0.025056835263967514038,-1.4793531894683837891,1758023080.0582406521
-6.8801894187927246094,6.199619293212890625,0.1960407644510269165,0.0015904027968645095825,0.032185867428779602051,-1.1782168149948120117,1758023080.4559628963
-6.817584991455078125,6.0728373527526855469,0.193685188889503479,0.0035967123694717884064,0.030391272157430648804,-0.96437084674835205078,1758023080.8560881615
-6.6555352210998535156,5.8697371482849121094,0.17684087157249450684,0.010633719153702259064,0.035291451960802078247,-0.71243488788604736328,1758023081.4560694695
-5.8322205543518066406,5.1815891265869140625,0.15500983595848083496,0.014285296201705932617,0.024450542405247688293,-0.70826697349548339844,1758023083.0561153889
-5.0520925521850585938,4.4417796134948730469,0.13842405378818511963,0.011338185518980026245,0.02855664864182472229,-0.79091620445251464844,1758023084.4562709332
-4.4632244110107421875,3.8727698326110839844,0.11376925557851791382,0.017383316531777381897,0.025624269619584083557,-0.54507356882095336914,1758023085.4549100399
-3.6211535930633544922,3.3025960922241210938,0.095718719065189361572,0.011383956298232078552,0.029746225103735923767,-0.70116829872131347656,1758023086.655397892
-2.8654994964599609375,2.6139733791351318359,0.066242046654224395752,0.01537536177784204483,0.027381654828786849976,-0.74220764636993408203,1758023087.8563840389
-2.0871016979217529297,1.8761600255966186523,0.048639133572578430176,0.012377316132187843323,0.030265899375081062317,-0.76486772298812866211,1758023089.0560801029
-1.278756260871887207,1.0635857582092285156,0.026572326198220252991,0.01159496605396270752,0.030250912532210350037,-0.78305917978286743164,1758023090.2563614845
-0.55839633941650390625,0.32160159945487976074,0.0074216071516275405884,0.015275291167199611664,0.033421564847230911255,-0.7987702488899230957,1758023091.2563452721
0.12005803734064102173,-0.35279715061187744141,-0.018516613170504570007,0.020237406715750694275,0.028430191799998283386,-0.52251929044723510742,1758023092.2546150684
